species_key,occurrence_count
2426805,631706
5217160,597411
2424585,279920
5218405,267420
2431885,203688
2431783,193527
2431776,191848
2431491,173244
5218410,170004
2422507,162600
2429583,148364
2427091,144288
2422872,138077
2427573,137616
2427172,124317
2429578,110328
2426760,106757
2427831,99884
2426612,95671
2427671,94214
2423435,94100
2426654,91148
2426789,87969
2427072,86472
2426661,82650
5218390,75453
2422538,74694
2428132,74359
2427555,72403
2427185,71926
2429581,68378
2430396,67301
5216933,66836
2426947,63219
2428182,62328
2426658,59878
2427705,59664
9421513,58504
10842219,52638
2424593,50398
10810025,45437
2431750,42702
2423787,41327
2427755,40995
2422924,40990
2431886,40433
10595763,39666
10806364,38596
9529916,37288
2431951,36601
2427093,33033
2422905,32808
2431224,32483
2424293,32388
2422404,31456
5217163,31235
2431913,30784
2431643,30271
2423834,30042
2431539,29476
2427616,29176
10365883,28504
2422865,28288
2427610,27618
2422105,26614
2422916,25282
2427056,25189
2429607,24268
2428083,24216
2431199,23487
2430565,22742
2427754,22217
5218376,22191
2431920,22002
2427256,21844
9409066,21841
10892611,21471
10843277,21272
10870167,21142
2429573,20983
2424588,20785
10863553,20646
10822921,20476
2430567,20263
10824904,20041
2427779,19489
5217228,18684
2423443,18239
2427823,18223
2422890,18034
5218029,17386
2431781,17275
2423497,16247
2424555,16132
10877828,16086
10857535,16008
2430491,15263
2427110,14762
2432006,14591
10889090,14579
2428169,14567
5218366,14311
2427814,13962
2426634,13579
2431233,13483
2431459,13459
2424630,13315
2429795,13201
2428680,13065
2427839,12984
5217144,12821
2431506,12645
2432014,12513
2422882,12118
2424597,11993
2431529,11963
2421766,11917
2431219,11902
10856573,11635
2422389,11524
2424568,11515
10894420,11489
2427618,11424
2431711,11328
2427571,11279
2431993,11196
2423840,11137
2424629,10852
2431516,10686
10754639,10242
2423785,10197
2424089,10043
2431489,9999
10851350,9919
2429587,9850
10787842,9820
5217556,9743
2429785,9612
2423441,9587
2424575,9476
2429559,9191
2426808,9163
5218408,9145
2424022,9080
2431423,9045
2431142,9024
11377651,9021
2429789,8904
2431875,8864
2427701,8764
10757240,8750
2424616,8713
2431965,8685
10867288,8674
2427835,8544
2426803,8519
2429582,8484
5218348,8420
2431978,8401
2431769,8391
2429585,8383
2426774,8252
2427847,8224
5217952,8166
2428141,8123
2425166,8118
2428130,8085
2429796,8002
10857682,7979
10767031,7736
2426762,7666
5217671,7492
2431824,7383
2428504,7375
2421636,7350
2429135,7335
2422117,7256
2427800,7149
5217525,7149
2426616,7114
2431998,6810
2431484,6794
5217334,6783
2421773,6773
2426814,6763
2431514,6657
2428197,6614
2422934,6610
2426617,6565
2431510,6546
10737932,6438
5217229,6405
2427062,6385
5216969,6385
2431237,6351
2430382,6307
5218384,6272
2431962,6256
2424596,6198
9388146,6173
2422892,6055
2431763,6015
2427565,5998
2428152,5947
2431220,5896
2424562,5878
2427047,5873
2431777,5865
2424579,5755
2424572,5703
2427865,5669
2429592,5655
2431207,5645
2427326,5638
10757025,5617
2424583,5559
2432022,5493
2424091,5432
2428683,5407
2426756,5398
2422110,5390
2428549,5360
9456514,5357
2427586,5300
2431521,5271
2431480,5249
2426785,5233
2431666,5228
5218022,5224
10801413,5164
2424643,5162
9383706,5149
2429955,5092
2426610,5067
10759325,5033
5218351,5005
2431488,4956
5217587,4928
10772919,4921
2431887,4883
2431453,4795
2424590,4722
2431213,4670
5218380,4620
2429804,4614
2428500,4611
5216921,4470
2426767,4464
2431706,4447
2422375,4441
2422432,4357
2427887,4214
2422914,4200
2431501,4104
2431973,4031
5216992,4019
5218344,4007
2431938,3984
2432020,3973
2422911,3968
2425342,3944
2431394,3910
9114626,3907
10710561,3898
2428420,3886
2424591,3881
10695142,3848
2431191,3828
2427183,3759
2427580,3703
2429057,3692
2423160,3689
2431240,3683
5217858,3668
2430670,3660
2431992,3659
10740745,3643
2426771,3594
2429886,3591
2424592,3589
2424617,3578
2432063,3553
8949930,3546
2429783,3539
8813908,3528
2428904,3514
10698146,3510
2430162,3510
2431299,3493
2428925,3486
2424624,3485
5217933,3480
2427370,3463
2429165,3434
2424576,3430
2429579,3415
2424584,3410
5217534,3384
2421790,3383
2427049,3353
2431944,3353
5217608,3349
10872248,3341
2431780,3339
2424120,3326
