species_key,occurrence_count
9510564,29331932
9761484,29185167
2482507,29049756
9809229,27911220
2495347,27283211
2490384,27136852
5231190,25461486
2482593,24059787
5232437,23114752
2492196,22420713
9409198,21062070
5231640,20271999
8323485,19175017
9149595,19040247
2487805,18753357
2481930,17600801
9515886,17226934
2478106,15422342
2495414,15357990
2478259,14999350
9362842,14811705
2484892,14309465
9630752,14136792
9705453,13469341
2487887,13277043
2490719,12938507
2493801,12898791
9752617,12715247
2480542,12416074
7341805,12342174
2484155,12339717
2482492,12168846
5231677,11805032
2481134,11202365
2487879,10799804
2492462,10553133
2481875,10517540
2494422,9945719
2480320,9869044
5231140,9621193
2495696,9511411
2494936,9399545
2495455,9058721
2492109,8977838
2487844,8629679
2489670,8518843
2484391,8413741
2489181,8325756
2490941,8060063
5229490,7884429
2480726,7790955
2480446,7763464
9797180,7585706
9192501,7526122
2484597,7502062
8214667,7431096
2480537,7357054
2483606,7242520
2484609,7236152
7341834,7054274
2475472,7035742
4848480,6887987
2481174,6858743
2493091,6853021
9362027,6770942
9687165,6682111
5231132,6678720
6065824,6620783
5231459,6600424
2498343,6534639
2481890,6530568
5845582,6454205
2481942,6444298
8332393,6401176
2481139,6301858
2492956,6256219
2494686,6232029
2474393,6030189
5228199,5953988
9685907,5928949
2487430,5909472
2498326,5824326
2484879,5792032
5231438,5703837
2474377,5675639
9616058,5608378
9537647,5577466
9409796,5534665
2487596,5507231
2491205,5389816
5228824,5363658
2498329,5177802
2477968,5142512
2482077,5134378
2480487,5054665
2480529,5045989
2498387,5007896
2481172,4978766
2493052,4978523
9709230,4807321
2476674,4779284
2480873,4735799
2498036,4664190
6100954,4598065
5228514,4589666
7901064,4419884
2480242,4302770
2484340,4288186
5231647,4242912
5231198,4184097
5229493,4168502
5231142,4151014
2482515,4140272
5229688,4127706
2489985,4100627
2490327,3980063
4409023,3890669
2498375,3869254
2484596,3863244
5229734,3818228
5231763,3817567
2498261,3806959
7788295,3777771
9476062,3773916
2483612,3759797
2480876,3756451
2484591,3748905
2483597,3719933
2481798,3694649
5231635,3626037
2498155,3618675
9479809,3612955
2498112,3602929
2480830,3602883
2484916,3582525
2487446,3558169
8077224,3554330
2482054,3542299
2491557,3505610
2489613,3465172
2482481,3454374
2498264,3444529
2489005,3441387
2490810,3433041
9539567,3362488
2493843,3359020
2481759,3355147
2492235,3331557
2481720,3327854
9752149,3316420
2491534,3315592
2498408,3312294
2495370,3294689
2490266,3276352
7982160,3258797
2480482,3255521
5231630,3244354
2489202,3235622
6065844,3206791
2481962,3199619
2480863,3105258
6092830,3067846
9422220,3048170
6093345,3018433
2498305,3007004
2492096,2994874
2482048,2994252
5228676,2988154
8169649,2980997
9581157,2966872
9367409,2966402
7341816,2956046
8104397,2940620
7804446,2918040
2490737,2912080
2482414,2911133
2493118,2907771
5229158,2893215
2480637,2858281
7341822,2857080
2494543,2824831
2481745,2818101
8000602,2816649
9606290,2813789
2481047,2804280
2490494,2794461
2489590,2782638
9581438,2771007
2481714,2767836
2482598,2749793
2481800,2734343
2482755,2726299
5229167,2718279
2478605,2708636
5229487,2677060
2498352,2666309
2498257,2561685
2494988,2546305
2475532,2536669
6101224,2532694
2489450,2522867
2489214,2520039
2481236,2488546
2480327,2486509
2490821,2484092
2487413,2482237
2498009,2470043
2474953,2464225
5739315,2443029
2481792,2442617
2474950,2437126
2487871,2435369
2489160,2434342
2492606,2433876
2484254,2414326
2478523,2394061
9596413,2365500
2489169,2335950
4408759,2334382
7357320,2329589
5229205,2320937
2480894,2302658
2481819,2292091
2492943,2273823
2490872,2262132
5229662,2257133
7341606,2247725
2489129,2189091
2481721,2172511
5229155,2161970
2481776,2161948
2480964,2138741
2498252,2129078
6092631,2115781
2487783,2110052
2481748,2109915
2490781,2103856
2484183,2097520
2498347,2090044
5789298,2063215
9813242,2062008
2490310,2056825
2493863,2056049
9415596,2041757
2481726,2036632
9701857,2005978
7341600,1988391
5231918,1983128
2480449,1979643
6093209,1972899
6092942,1946572
2492192,1941195
5229168,1938410
9740253,1936524
2488485,1929403
2491872,1924467
2479226,1912390
5229128,1874270
2482059,1866105
2488517,1853098
2493129,1843932
7531611,1835860
8346347,1823738
2478133,1822176
2481912,1818147
2483607,1814214
9413670,1797787
5230754,1796703
2498255,1793034
5231138,1790611
7806848,1775929
2486655,1774684
9566659,1770811
2481146,1768980
2494200,1764625
2482513,1759798
2480295,1748297
5231240,1731809
5229247,1722466
2494441,1712980
2481784,1702600
2492942,1689139
2490774,1666248
5230789,1665877
2487456,1661007
2480881,1656412
2481728,1641352
2490936,1634540
5959118,1632307
9656686,1632155
2478130,1629670
2492870,1620598
5739317,1611911
2481342,1606571
2481817,1602113
7415507,1600439
2480389,1592170
2498017,1589182
2498263,1573203
2481196,1569983
2482082,1556231
2498273,1554139
2493012,1550790
2490246,1547950
2484133,1545119
2481713,1542938
2490487,1538061
5231103,1537735
2482487,1534126
5231722,1527188
9399113,1526781
9629160,1514614
2498265,1514301
5229126,1509574
5232464,1501157
8250742,1497357
2482499,1496994
2493970,1493214
2495471,1487688
6065818,1485800
5229675,1481152
5228080,1479545
2487843,1468295
2488602,1450348
2480773,1448746
2490804,1444928
2488484,1440401
2482065,1440007
6093856,1436862
5229935,1435702
2482791,1433636
2487825,1425379
2486131,1424474
2480989,1417996
2481958,1413986
5789281,1409161
6101223,1407042
2498246,1365428
5228328,1356913
5232446,1352579
2494329,1344078
2492960,1341770
2479686,1341767
2496287,1334647
5229754,1334244
2487516,1318736
2479598,1311197
2481433,1303938
2490263,1302886
2497541,1299632
2492576,1299423
5229134,1294568
2498167,1291060
2480801,1282998
2487866,1281931
2480524,1277516
5230862,1272019
2487883,1271584
2493744,1268617
2498415,1267994
2487453,1267418
2481240,1247730
2481685,1246415
6093199,1238643
7745240,1234424
5229146,1230818
2481764,1230319
2480259,1216684
9088491,1213670
7340825,1210274
2480538,1205859
2487144,1200884
2482913,1196156
2498084,1191077
7660710,1186395
8959883,1185407
7341828,1183871
2487365,1183673
2492680,1176639
2489396,1176530
2493028,1165765
2477872,1165310
2496347,1164516
2483647,1159663
2481710,1157551
2482051,1156704
2479888,1151274
9345027,1148698
2487603,1147351
2495858,1146647
9283578,1145243
2498393,1138196
2492822,1136783
2484605,1134630
2490716,1128388
2496060,1127007
2480258,1124861
2475648,1111625
7634625,1110769
6065811,1107859
2481205,1097428
2487905,1086564
2484904,1080534
2489104,1079971
2482033,1079699
5228513,1076074
6092935,1074318
9568685,1072481
2487397,1066955
2491651,1059180
2495358,1056907
2492521,1055421
2480332,1054712
2498345,1052987
5232005,1047701
4408732,1038346
2498338,1038261
2478081,1035286
2495190,1032105
5844398,1013859
2474831,1008110
2498256,1006320
2482786,1006074
7341800,997862
2474639,993833
2495869,990880
2495266,989856
2489989,978227
2497035,977373
9990095,972089
9282206,972041
5229131,966948
6092651,962917
2490669,962504
2476855,961359
2495863,947524
2491728,944887
5232452,942262
2480905,941048
2486151,935652
2489448,934182
2481742,932250
2480897,932070
2491719,924406
5229864,922708
5231688,921351
2498247,919486
6066513,911521
2482524,911203
9436876,910778
2482357,906891
2493598,906144
6093374,901156
2490604,900378
2484417,899388
2480189,896964
2486150,895812
2481173,888064
2478112,887470
2481744,885317
2491862,883475
9375033,883350
7341789,876047
2489208,871875
2480765,870288
2494324,869663
2480953,867409
2481670,864852
9533566,859533
2481937,856053
2481035,854466
6093527,853380
2481681,850003
2486761,849794
2484195,845160
2480506,844668
5229681,838938
2480934,831726
2480562,829307
2476441,828428
5229230,819357
2481672,816387
2479407,810447
2498046,807615
2480880,805378
2479311,805190
2482802,804950
2489440,801593
2481119,797331
2480803,792377
2493558,784878
2475410,776033
2483600,774414
2475443,767625
9444556,767284
7340608,765001
2492758,764504
6093357,763564
2498344,763526
6066512,762148
2498243,761150
5229687,759068
2484907,757314
9274012,756568
2481765,755690
2476852,753265
2486621,749000
2496432,744440
6093202,743305
2481684,742789
2480420,735075
2474732,732941
8277073,724802
8151548,724251
5228072,722671
2479329,714254
2480273,710938
2480437,706967
2490926,706558
11205778,705128
2473702,702037
2480372,698090
9015784,697712
2496209,694168
5230402,692543
2474416,690390
2498285,687636
2474825,686487
5229882,686350
9751099,685986
2490363,678372
2481312,674490
5789285,673863
7340855,669866
2495708,666029
2484184,665688
2473958,664538
2481959,664262
2481870,663345
9451184,659968
2489871,659452
2483410,659355
5230861,656091
9722986,654785
2495093,654032
2481700,651595
2484396,651477
2476844,645192
2485821,645115
2483274,641314
2488949,640674
2497266,640539
2498095,639197
2481725,639039
2481209,637268
2487919,632281
5846430,629758
2492885,629634
2482490,629254
2492752,627711
6093862,626757
5844900,626569
2482809,624660
2493136,624348
2481121,622484
5229203,620975
2495667,617423
2486602,616993
7878644,615235
2492101,613152
2498080,612322
2484434,611697
5231676,605351
2482451,604806
2481749,602972
2487015,600609
5959190,600385
2480824,599280
2498238,599143
7691806,598365
2481895,597950
5739290,596188
2486622,594964
6091946,593533
5229156,593224
2495691,593034
2498250,592572
5228220,590126
5230852,589614
9047331,584264
7341770,583763
2481741,582554
2481794,581762
5817288,578729
5232316,576897
7626513,573980
2482491,573836
2495287,571763
5231474,571449
4352332,569796
2495707,569055
2496459,568647
2480367,568543
2490935,566305
2474337,566210
2481646,559354
5229743,557255
7341587,555838
2490849,555791
7937336,554975
10682451,554188
2490275,553142
6093846,551561
7796884,551038
2483531,548137
5231483,546321
2493367,542655
8012314,542051
2494771,538581
2491741,538155
2492846,536470
5959188,534107
2496211,530012
2480311,529529
5229606,529495
2489301,528439
2481621,527342
8197121,525306
2480685,521854
2475679,519003
2481156,517582
2493660,516283
7341622,515250
2492542,514264
5789279,512933
2481861,512736
5228662,512234
2497295,511995
2480719,509612
5229389,508146
9273219,505860
2495681,502999
2475802,501609
9791464,499155
9717283,497620
2493220,497420
8128385,497387
6065841,497356
6101070,496279
5789283,495393
2497415,492864
2491757,492849
2481130,492359
7340537,491637
2480666,491352
5788893,491186
2475466,490705
2491123,490644
2474156,490026
2487341,484036
5845375,483364
5230466,481904
5789146,481495
2490718,481446
2488622,476424
2487404,475515
2493737,475058
2480495,474162
2480911,473783
2482043,471135
2482519,469354
2494015,467657
2477108,467231
2489133,467089
5229136,465499
2489439,463490
2484096,463163
2482565,461630
2473341,460610
2474051,459141
2480438,457747
2480910,456988
2478597,456785
5230300,456148
2494108,452723
2482436,450886
2491678,450102
2486847,448216
8255548,444997
2487441,441882
7342055,441370
2480766,438549
2480461,438337
2498024,438192
2497306,437647
5228542,437077
2498325,436221
2477102,434596
5229495,433885
2479871,432272
2492863,431854
2497921,429196
2498224,429118
5230942,427674
2481127,426606
5228612,426249
2481695,426182
2493963,424657
10332233,424126
4408796,423941
2498097,423866
5739277,423092
2493128,422882
2479563,422455
5230400,421308
2480331,419896
2481263,419292
2480764,417811
9315520,416997
2498180,416618
2490255,416383
5231430,414978
2480556,413895
2495295,413731
2480272,411565
2489203,411399
2491276,411117
2493890,411062
11273070,409790
7751637,409185
2480089,408661
2495486,407372
2493548,406958
2475422,406701
2490726,406115
2493987,404573
2497240,404349
2483589,403299
7341895,402396
2494459,401645
2493145,400813
2492519,400390
2493214,400174
2481909,397265
2495487,396498
2481743,395880
5229467,395392
2480888,393375
2489837,391955
2482454,391781
5228136,387608
2473682,386746
2492962,385692
2490296,385593
2492526,384668
5229400,383991
5231817,383872
2486541,382824
5231713,382712
7340924,381818
2481770,381545
5229678,379079
2478125,378561
2481955,377115
5231195,376671
2486147,376238
2484404,375748
2495057,374380
2498015,373363
5228831,371514
2492099,369595
2494088,369224
7690702,368251
2487408,367049
2484723,365565
5231675,364300
2479925,363274
2487149,363079
7792756,362683
2478771,362602
2488963,362586
2493969,362407
2487086,361881
2486467,360713
2480970,360565
2489362,360410
9450106,359936
5231037,358916
2480433,358476
5228816,356942
2493324,354395
2484700,354130
5789148,353654
2475486,353293
2495303,352912
2481009,351138
2478548,349887
2480410,349208
2489603,348008
2475452,347898
2482085,347770
2482613,346432
5229410,344276
2495495,343915
2481740,343480
2490405,343169
8144830,342963
6066519,342108
2486625,341793
2484246,340488
9600020,340393
2481756,339342
2476675,337443
2493394,337153
2488433,336752
5229124,336480
2481719,335310
2481860,334312
2489006,332531
2477082,331755
2482785,331367
2491356,328625
5959208,327873
2480455,327811
2482614,327725
5229165,327044
5231139,325399
2490775,324533
2482921,324492
2481846,321561
2482882,321469
2492867,320726
2482032,320434
6093586,320397
5229406,320111
2493957,319414
2481181,319097
2480283,318593
2498269,318185
5231209,315835
8986244,315708
5229172,314969
2495195,314661
2480975,313342
2480923,313028
10704098,312431
2480812,310625
5229693,310526
6094910,310438
7379258,309147
2490717,308863
7668711,308850
7341597,308135
2475379,307786
2480589,307688
2480767,306602
2480799,305748
2487049,305494
2490955,305403
2483511,304075
7865305,303997
2482800,303598
2490826,303303
2492765,302807
2483497,302542
9552291,302366
5229429,301581
5959143,300591
2493095,299627
9126320,299470
2482934,299215
2481353,298240
2489770,296614
2496990,295700
2480951,295295
2498156,293750
2487793,293490
2481410,293433
9300456,293232
5229137,293183
2479623,292787
2498061,291926
6100870,291455
5739298,291241
9568884,287584
2489073,287516
2487998,287282
5229181,286842
2490277,286716
7857709,286591
2486126,286328
8109681,284668
2488959,283598
2482803,283245
2492762,282534
2478779,282166
9406038,281960
2490722,281203
5232118,280958
5231730,280929
2498404,280200
9326020,278316
5230641,277143
8293756,276977
5229684,276881
2481324,276517
2480328,276444
7341262,274966
4408498,274892
9523325,274657
9029556,274516
2491961,273686
8773033,273175
2487029,271978
2492836,271276
10955666,270524
2480906,269134
6100745,269024
2487385,268638
2487892,268306
5230500,268297
2482552,267921
10759934,266397
2495865,266158
2474381,265887
2484217,265233
2477411,264532
5228679,264522
9441907,264247
2479902,264160
2473421,263290
5789082,262354
2477093,261498
2496258,261154
2496286,260873
2478838,260691
2484628,260424
6100996,260159
5229044,259889
2498396,259019
5230750,258961
9353154,258160
2488890,257508
5230811,257174
2490752,256045
2488498,255737
2487586,254936
2481521,254476
2493183,253321
5230801,252875
2488442,252230
2492582,251533
2493084,250906
5231325,250692
2498388,250540
5230739,249473
2481059,248862
2481285,248493
2476195,247539
2479007,247455
9606873,247373
5845081,247194
2481746,246109
2488114,245731
2493070,245562
2482081,245056
5228280,244755
5231910,244507
2480509,243642
5793241,243177
5231223,242944
5229893,242691
2492081,242619
2482044,242407
5229426,241706
2491498,241316
2488352,241236
2482036,239733
5230401,239710
2496462,239565
2486551,236444
2481071,236114
2475482,234723
2479115,234674
2487949,234633
2480415,234154
2487054,234127
2475365,233012
2481938,232542
2482940,232500
2493965,232313
2498065,232190
7340161,231822
5229390,231729
2486119,230964
5230896,230785
2480454,230618
6100941,230588
2491335,230536
2486044,229905
2474029,228653
2480261,227731
2486687,227639
2479720,227552
2478105,227539
2488424,226979
2486144,226047
2483629,225181
2484860,224854
2478899,224446
5228474,224359
2473577,224358
2481000,223349
2498161,223345
2482100,222926
7945392,222415
7760921,220815
2480369,220611
2480566,220544
2482315,220472
2494058,219876
2493624,219819
2481889,219626
6101073,219478
2485628,219151
11164150,218453
9520263,218265
5228695,217934
2489785,217752
6092644,217232
5232162,216756
2475923,216662
2475259,216129
5229832,215936
2481705,215854
7341074,215736
2476417,215626
2480553,215395
2498007,214180
2493971,213868
7340299,213688
7341500,213383
2487057,213213
5229154,212042
2489010,211954
5846387,211611
2494035,211536
5231665,210724
5733786,210622
2497280,210417
2484832,210229
5229419,209904
2494056,209664
5844936,209602
2490276,208826
2481609,207965
2487583,207851
2479107,207237
2489446,207101
2474659,207000
2479618,206751
2486116,206173
2493958,206093
2492605,205913
7341745,205471
4846800,205327
5231710,205205
5228322,205081
5230482,204943
2490303,204768
2488710,204595
9750846,204399
2492949,203938
5789239,202842
9426540,202807
2486688,202519
5230410,201445
2493726,201438
6093350,200925
5229380,200854
2493618,200639
2479583,200137
5846290,200134
2478272,200121
5229142,199895
2484481,199374
5230392,198736
2481660,198241
2484159,197851
2480933,197556
2489136,197220
5229055,197100
5788446,196977
5230762,196950
2492601,196693
2479704,196523
2478068,196381
6095032,195689
7341132,195637
2490274,195511
2498127,194511
2480651,193119
2488966,192407
9330514,192009
10992187,191628
2497109,191608
2493634,191558
5228644,191551
5228236,191389
2488439,191119
7597244,190808
2480696,190141
5232465,189570
2491031,188148
2492766,187542
2486162,187294
2484853,186865
5229358,186390
2493633,186271
5231296,185829
7340285,185816
6065823,185732
2492350,185630
2489166,185365
2495335,184325
2492675,184258
2498452,183569
2488583,183377
5231793,182515
2492428,182449
2495342,182263
7340881,182198
2481618,182196
2475360,181939
2487200,181246
2492444,181075
5788555,180564
2484222,179695
2478233,179556
2495353,179179
5845285,178291
5845390,178083
5230198,177200
2481850,177100
2484168,176968
2487524,176358
5230398,176311
2494126,175899
2489850,175669
7341196,175253
2486822,175163
6087680,175127
2490283,175068
2481835,174979
9053125,174729
6065810,174569
7340401,174314
2476600,174157
2481120,174018
2484272,173655
2488222,173182
7340518,172255
6101178,172139
2492807,172090
2487964,171900
5229853,171822
7405711,171677
9288935,171368
5231932,171016
2480505,170974
2476528,170837
2496333,170826
2487370,170634
2481769,170600
8101752,170525
2493327,170420
2497981,170128
2487319,170125
2491846,169993
2482080,169690
2483936,169268
2478142,169072
5959092,169037
2479906,168679
2487495,168232
5231960,168066
2492362,167836
5229343,167690
2488627,167184
2491893,166837
2493551,166775
5230329,166641
2498421,166054
7341580,166040
2489296,165959
4408780,165823
2498402,165274
2490307,165070
2488011,165052
2479899,164993
2492031,164843
2481928,164749
5230928,164280
2494973,164076
2486638,163041
2495840,163018
5231186,162982
2477507,162669
2479127,162605
2496699,162270
2491482,161663
2498259,161303
2483943,161054
9585359,160826
2495888,160739
9584698,160441
2492634,160393
2483494,160041
2490244,159905
5229344,159793
2497052,159553
2480519,159289
7341658,159126
2473663,159063
5229924,158738
5845386,158706
5230485,158190
2479399,157789
2473944,157471
2480778,157252
5229281,157090
5230492,157080
11081628,156488
5229302,156271
2480907,156262
2490273,156180
2476483,155870
2496325,155861
2475742,155483
2498011,155294
2488179,154967
5229450,154925
5229930,154706
5230776,154705
9393917,154487
2495757,154096
2479606,154049
2480541,153339
2498136,153207
2482225,153195
2481147,152889
2476718,152056
2475276,151607
2481613,151349
5229651,151215
5959227,150871
2476108,150680
2481033,150638
2476607,150521
2497509,150510
2481221,149728
2487898,149603
2498350,149320
6101173,149169
2476667,148372
2498411,148088
5788886,148043
2492748,147758
2485341,147750
2479308,147679
2480867,147531
2490224,147461
2482500,147443
5231941,147385
2496700,147270
5231388,147259
2480806,146940
2479105,146521
2496210,146402
7340331,146117
2486777,146100
6065820,146053
2491628,145830
10095118,145806
2498035,145491
5232207,145441
7340170,145435
5230363,145081
7341308,144940
2480921,144900
5788858,144620
2476621,144411
2495134,144283
2486132,143881
2486651,143634
2491376,142967
5228417,142778
5229541,142571
2481680,142471
2480808,142314
2493314,142132
2480325,141853
9351286,141688
4848207,141577
2495284,141374
2481853,141167
2481840,141121
2489036,141023
2492723,140752
2491024,140682
7406504,140657
2487593,140595
2487935,140564
2480899,140379
2494154,140211
2486024,139936
2480102,139618
2497701,138944
2480790,138732
2482688,138633
6100849,138534
2490681,138513
4845761,138452
2480297,138445
5959228,138056
2495310,137913
2493313,137577
2490613,137541
2490801,137389
9492770,137192
2487426,137159
2480786,136801
2493248,135682
2491116,135673
2475403,135412
5229212,135190
6066527,135102
2480030,134875
9733156,134688
5231333,134384
2480869,134339
5231382,134293
5230458,134194
5231742,134124
2493680,133935
2493075,133927
6095338,133810
5230846,133743
5229745,133410
5229489,133250
7528533,133082
5230759,132982
5229845,132681
5231747,132441
2486553,132246
5229150,132195
7340753,131828
2498064,131718
2480350,131547
2474382,131181
2481661,131121
2476817,131070
2482097,130992
9487001,130916
2480963,130714
6100944,130333
2480800,130229
2498090,130178
2480491,130003
2496468,129745
2480564,129688
10542232,129353
2493540,129103
6100943,129015
5229730,128740
7341063,128735
6092488,128715
2495150,128596
2480655,128445
2481299,128397
2482929,128323
2487364,128295
2481918,127925
5229568,127720
2474736,127668
9045043,127519
2489008,127411
8426551,127355
2492269,127346
7341522,127051
7340278,126939
2478874,126792
5229239,126479
5232435,126341
2489052,126173
7340799,126099
5230178,125968
2480720,125957
2492266,125955
5230903,125752
2481383,125708
9819034,125688
5229939,125365
2488545,125291
2481703,125232
5230407,125090
5230399,125055
2495321,125037
2483507,125033
7341947,124963
2486138,124807
7341576,124701
2486060,124697
2496643,124681
6101015,124493
2477630,124478
2477804,124319
2478031,124264
7341776,124260
2473804,123962
2490698,123790
2489322,123762
7341536,123634
2481791,123575
5231245,123426
2488980,123379
2481302,123266
7340540,123244
2478580,123122
2475955,122977
2492750,122799
2482458,122609
2480108,122468
5231903,122462
5959231,122449
2482449,122351
2479562,122275
2478399,122181
2486566,122019
2487110,121905
2498027,121765
8351644,121512
2494033,121450
5229915,121405
2479122,121239
2486129,121099
2487666,120676
10895981,120511
2487979,120482
2486123,120456
2497341,120329
7341881,120224
2490163,120107
7342077,120045
2480857,120029
2493716,119929
2482012,119793
7537888,119635
2480554,119581
6100921,119118
5231329,118743
2484424,118739
2480552,118510
2495375,118455
9691034,118345
5229622,118327
5231469,118016
7934047,117836
2496314,116857
2482522,116818
7964835,116781
2493698,116686
2496204,116633
2483855,116622
11366957,116560
2498187,116543
2481006,116497
2475735,116283
2487985,116217
2487976,116156
4408455,116076
2474621,116040
2483402,115994
2493974,115769
2479071,115589
7340679,115445
2484936,115430
5231643,115269
5227765,115232
5229498,115110
8314699,114965
5229359,114932
5231530,114751
2492747,114713
2484237,114542
2495905,114243
2479666,114163
2494005,113921
5227679,113732
2487452,113702
2481722,113635
11345373,113575
2490735,113503
5959215,113490
2481663,113392
2483559,113303
2493967,113152
2482521,113095
2495314,113017
2493071,112871
2475311,112741
2481923,112679
2483914,112669
7982358,112551
2482559,112498
6100997,112137
2482564,112037
2478979,111983
6087954,111669
5231235,111632
7340984,111625
2490033,111622
2484710,111435
6066379,111330
2494998,111011
2490741,110824
2480377,110571
2481495,110491
5230726,110475
2475392,110404
6101031,110226
2488590,109876
5228075,109521
2487006,109383
5788816,109111
5844449,108585
2477269,108285
6100968,108242
2482062,108194
10802560,108152
6100817,108145
2491582,107859
2478774,107839
5232083,107748
2484386,107584
10999791,107368
10941997,107221
2486146,107202
2489177,107159
2482553,106908
5229249,106904
5229424,106874
10850807,106829
2487489,106802
2480266,106575
2485950,106442
5232428,106425
2490848,106359
9128444,106264
2479612,106252
5228228,106227
2490751,106123
5229012,105817
5230338,105680
2479862,105658
2496178,105532
6100979,105488
5739361,105466
5228340,105353
2474949,105263
5229460,105247
2491645,105192
2476133,105131
7529528,105042
2482738,104403
5846236,104369
2496264,104354
2481027,104346
2480649,104293
2494090,104289
7340870,104102
9508460,103673
2478782,103492
2476836,103127
2492697,102987
7660361,102938
2478765,102869
5845131,102287
2497062,102185
2487236,102151
5229971,102145
2484826,102077
2476168,102076
2495291,102050
2497365,101972
5231750,101957
5788537,101921
5231693,101744
2494854,101558
2484205,101358
2479907,101340
7340244,101194
7340992,101075
2482478,100917
2474153,100451
2484419,100431
2479075,100273
2480513,100203
6100791,100196
2489374,100181
2480898,100087
2484857,99995
2476948,99981
2480659,99929
2487672,99827
5789055,99432
2498288,99414
2481062,99394
2495910,99385
5231685,99360
2475270,99328
2490837,99286
2496081,99228
8292425,99216
9105847,99173
5229801,99104
5229770,99046
5228562,98941
2478122,98892
2483966,98891
5230154,98839
2492851,98737
2480271,98697
5959222,98515
2478248,97900
2475463,97891
2491478,97882
2492002,97589
9616953,97585
2479977,97542
2488929,97498
7341141,97485
2474550,97436
9584952,97328
2490773,97121
10912964,97077
2492854,96941
5959200,96907
