species_key,occurrence_count
5218465,3207210
5220126,2235290
5219243,1711917
5219858,1152655
7705930,1098503
2434814,1096809
7952072,1018495
8211070,880993
5219616,854619
2436940,715425
2440958,589924
5219681,566623
2440149,500234
5220086,477223
2433875,452316
5707150,426724
2441022,421890
2434784,387087
7872906,378163
2434806,363333
2439261,344255
2434793,319217
5220170,318746
5218522,315299
5218524,311014
2440669,306698
4409131,305142
2433753,294748
2440718,288328
2440012,287595
2440965,284753
2440254,278162
2432439,273219
2440728,261526
2437967,250017
2433472,238507
5219981,210595
5220136,194770
7429082,193964
2432359,193350
5706764,186689
5219173,179683
2435035,174908
2440447,173720
2437760,168340
5218786,160817
4264680,160304
5218887,159658
2441110,155570
2434762,153055
5218471,149268
2441055,147282
2440940,136309
2439233,134200
2440062,133588
8324617,132092
2440946,126362
5219460,125520
2440974,123707
2432582,123624
7261816,123448
2440301,122406
8123917,120621
5218878,119921
2433484,117418
2436886,117380
8316400,116223
5218507,115821
5219019,114168
5220154,114157
2439270,113367
4265185,111314
5219683,110638
2432389,110106
2437377,107523
2433378,103671
5219840,101484
5218911,100004
9754263,99544
5218655,98429
2441054,97288
2432655,96499
5219965,96497
9589697,94978
2436756,94081
2437258,93504
2439658,92586
5219153,90034
2439838,88158
2435240,87880
2435246,86745
2438019,86541
2441056,85825
2440886,84301
2437282,82069
2432416,81380
5218987,80333
5219963,80027
2437438,78745
5218823,77589
2432614,69641
2432470,68414
2437756,67255
2438616,67178
5219970,64813
5219219,64794
2435654,64765
2440152,64309
7571319,63244
5220114,62023
5220190,62002
7964291,61814
2437576,60632
2438606,57933
2438655,55215
2434340,54909
2440931,53446
7261386,52595
2440403,52481
7261861,51878
2439923,50708
5220171,50554
2434552,50426
2435304,48482
5219362,48111
2433407,47852
5219457,47366
2433433,46462
5219073,44789
8080937,43376
4266261,42868
2440068,42654
5739437,41792
2432284,41621
2435964,41023
2440043,40706
2433474,40538
2432427,40495
5220027,39829
5706762,39757
5220055,39499
5219989,38298
2436910,38152
5218464,38014
2439521,37977
2435296,37755
2438635,37699
2433458,37584
2437368,37524
5219975,36777
2436736,36444
2438147,36244
5706760,35911
2433467,35854
2435451,35819
2440995,35325
5219833,34728
2439385,34021
2435369,33518
2435370,33383
5219380,33083
2440483,32525
2433176,32204
2440704,32027
2436436,31491
5220149,31040
5220045,30687
2434982,30452
5219980,30228
2434566,30152
2433011,29768
9729967,29452
2435862,29431
4263039,29191
2440735,29114
2440050,28819
2439920,28375
2433009,28273
2440596,27159
2437761,26626
2438038,26121
2437874,25955
2439683,25728
9796816,25625
2439541,25619
5219369,25588
2435767,25148
2433272,25035
2438793,24552
2433475,24468
5218819,24039
2440332,23700
7593288,23689
2433376,23514
2440779,23412
2438911,23262
2437981,23242
2441176,23167
2432519,23017
5706486,22936
2440023,22851
2433727,22832
2440255,22696
5786666,22318
2436794,22155
2432295,22048
2440019,22010
2433270,21937
2433670,21934
6066824,21926
2436019,21607
2432430,21568
5219303,21525
2437985,21300
2441119,21103
2437450,20939
2435366,20925
2434791,20748
2435350,20732
7572569,20575
2436801,20268
2440892,20076
2432564,20061
2432352,20004
10774765,19956
2435099,19881
2435311,19878
2436179,19781
2433531,19670
2437432,19527
2440709,19471
5218525,19359
5218686,19225
2432621,19074
2435361,18901
2438621,18403
2434584,18256
2440026,17982
2437973,17665
2436090,17645
2441212,17410
2437581,17328
2438492,17292
2438619,17258
5220060,17236
2440993,17168
5219884,17134
2439240,17105
2440902,17061
2441144,17048
2441049,17004
2434255,16428
2436042,16421
2434816,16393
4266263,16323
2441034,15758
2436615,15680
2440605,15382
11371810,15000
2433298,14972
2434813,14874
5218864,14817
5218725,14784
2432517,14731
5707216,14661
7422937,14638
2436603,14583
2437369,14571
2440251,14459
7261875,14313
2440954,14260
2440911,13964
5219672,13923
5219598,13848
2436982,13817
2438517,13737
5220182,13636
2437281,13588
2432414,13395
5219404,13357
2436790,13295
5220050,13290
2440898,13239
2439383,13138
4266267,12948
5219796,12935
5220123,12866
2435358,12842
2440161,12797
5220127,12771
2440330,12458
2433194,12407
2437232,12232
2438454,12155
2441105,12132
2438706,12056
5219666,11687
2438475,11684
2432508,11658
2438603,11454
2437988,11453
2436649,11447
2435936,11357
7262034,11316
2438609,11268
2437430,11222
2433177,11150
5220183,11088
2441247,11050
5220160,11018
2438438,10867
5220073,10807
2433401,10797
2440714,10793
2437375,10769
5220081,10728
2433868,10655
2440369,10638
2437570,10629
2432406,10626
2439591,10619
2440049,10596
5219663,10361
2434271,10345
2432386,10329
2434333,10290
7440669,10288
2437394,10286
2438225,10240
7262029,10161
2438660,10142
7769716,9979
5706769,9957
2439508,9935
9055455,9923
2441108,9860
2437993,9845
2437864,9838
2438671,9711
2440122,9711
8836075,9615
2440891,9579
2440440,9447
2440339,9418
2435393,9315
2439467,9178
5218774,9174
2438970,9125
2436353,9069
5219785,9052
7994322,9023
2433462,9009
2436346,8989
8959277,8972
2439563,8894
5219461,8864
5220161,8780
5220003,8707
4265186,8668
2436846,8630
2440684,8585
2432622,8530
2434790,8521
2439331,8509
